Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/09/27 07:40:00 PM,2018/09/27,19:40,2018,Thursday,2018/09/28 07:23:00 PM,71984306374,719843,180736866,182713469,II,Initial,,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,SYCAMORE ST \ LEXINGTON ST,24166000,Mission,Mission,9,37.76262485915728,-122.42090062557527,"(37.76262485915728, -122.42090062557527)"
2018/09/28 06:42:00 PM,2018/09/28,18:42,2018,Friday,2018/09/28 06:42:00 PM,71984462050,719844,180736800,182713302,II,Initial,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,FLORENTINE AVE \ MISSION ST,21507000,Ingleside,Excelsior,11,37.7133620895825,-122.44395162934734,"(37.7133620895825, -122.44395162934734)"
2018/09/28 03:06:00 PM,2018/09/28,15:06,2018,Friday,2018/09/28 06:44:00 PM,71984528150,719845,180736769,182712293,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Cite or Arrest Adult,POWELL ST \ OFARRELL ST,24904000,Central,Tenderloin,3,37.78640961281089,-122.40803623744476,"(37.78640961281089, -122.40803623744476)"
2018/09/28 03:06:00 PM,2018/09/28,15:06,2018,Friday,2018/09/28 06:44:00 PM,71984571024,719845,180736769,182712293,II,Initial,,71024,Non-Criminal,Non-Criminal,"Stay Away or Court Order, Non-DV Related",Cite or Arrest Adult,POWELL ST \ OFARRELL ST,24904000,Central,Tenderloin,3,37.78640961281089,-122.40803623744476,"(37.78640961281089, -122.40803623744476)"
2018/09/28 06:45:00 PM,2018/09/28,18:45,2018,Friday,2018/09/28 06:45:00 PM,71984615162,719846,180736888,182713311,II,Initial,,15162,Offences Against The Family And Children,Other,Violation of Stay Away Order,Cite or Arrest Adult,STEVENSON ST \ 07TH ST \ ODD FELLOWS WAY,24319000,Tenderloin,South of Market,6,37.780005867994824,-122.41193341005338,"(37.780005867994824, -122.41193341005338)"
2018/09/28 06:45:00 PM,2018/09/28,18:45,2018,Friday,2018/09/28 06:45:00 PM,71984627170,719846,180736888,182713311,II,Initial,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,STEVENSON ST \ 07TH ST \ ODD FELLOWS WAY,24319000,Tenderloin,South of Market,6,37.780005867994824,-122.41193341005338,"(37.780005867994824, -122.41193341005338)"
2018/09/28 03:20:00 PM,2018/09/28,15:20,2018,Friday,2018/09/28 05:34:00 PM,71984706374,719847,180736606,182712976,II,Initial,,06374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,VALLEJO ST \ TURK MURPHY LN,25354000,Out of SF,Chinatown,3,37.7984422945084,-122.40987875494628,"(37.7984422945084, -122.40987875494628)"
2018/09/28 03:20:00 PM,2018/09/28,15:20,2018,Friday,2018/09/28 05:34:00 PM,71984768030,719847,180736606,182712976,II,Initial,,68030,Courtesy Report,Courtesy Report,Courtesy Report,Open or Active,VALLEJO ST \ TURK MURPHY LN,25354000,Out of SF,Chinatown,3,37.7984422945084,-122.40987875494628,"(37.7984422945084, -122.40987875494628)"
2018/09/28 01:16:00 PM,2018/09/28,13:16,2018,Friday,2018/09/28 01:16:00 PM,71984819400,719848,180735802,182711844,II,Initial,,19400,Disorderly Conduct,Other,Gang Related (secondary only),Open or Active,19TH ST \ MISSION ST,24145000,Mission,Mission,9,37.7602353540718,-122.41920604493745,"(37.7602353540718, -122.41920604493745)"
2018/09/28 01:16:00 PM,2018/09/28,13:16,2018,Friday,2018/09/28 01:16:00 PM,71984828165,719848,180735802,182711844,II,Initial,,28165,Malicious Mischief,Vandalism,"Malicious Mischief, Graffiti, Real or Personal Property",Open or Active,19TH ST \ MISSION ST,24145000,Mission,Mission,9,37.7602353540718,-122.41920604493745,"(37.7602353540718, -122.41920604493745)"
2018/09/28 12:06:00 PM,2018/09/28,12:06,2018,Friday,2018/09/28 12:48:00 PM,71984906361,719849,180735755,182711595,II,Initial,,06361,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, <$50",Open or Active,SUTTER ST \ SANSOME ST,30048000,Central,Financial District/South Beach,3,37.790247403765534,-122.40055526483039,"(37.790247403765534, -122.40055526483039)"
2018/09/28 07:45:00 PM,2018/09/28,19:45,2018,Friday,2018/09/28 07:45:00 PM,71985006243,719850,180735915,182711937,IS,Initial Supplement,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,OAKDALE AVE \ RANKIN ST,20748000,Bayview,Bayview Hunters Point,10,37.73884664690457,-122.39780954703679,"(37.73884664690457, -122.39780954703679)"
2018/09/28 07:45:00 PM,2018/09/28,19:45,2018,Friday,2018/09/28 07:45:00 PM,71985072000,719850,180735915,182711937,IS,Initial Supplement,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,OAKDALE AVE \ RANKIN ST,20748000,Bayview,Bayview Hunters Point,10,37.73884664690457,-122.39780954703679,"(37.73884664690457, -122.39780954703679)"
2018/09/28 04:10:00 PM,2018/09/28,16:10,2018,Friday,2018/09/28 04:15:00 PM,71985104134,719851,180736424,182712606,II,Initial,,04134,Assault,Simple Assault,Battery,Open or Active,POLK ST \ AUSTIN ST \ FRANK NORRIS ST,25211000,Northern,Nob Hill,3,37.789165093007924,-122.4204012466872,"(37.789165093007924, -122.4204012466872)"
2018/09/28 06:05:00 PM,2018/09/28,18:05,2018,Friday,2018/09/28 07:30:00 PM,71985207045,719852,180736913,182713130,VI,Vehicle Initial,,07045,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Truck",Open or Active,15TH ST \ CALEDONIA ST,24375000,Mission,Mission,9,37.76657054026182,-122.42153129641211,"(37.76657054026182, -122.42153129641211)"
2018/09/28 07:55:00 PM,2018/09/28,19:55,2018,Friday,2018/09/28 07:55:00 PM,71985312080,719853,171040787,173592612,IS,Initial Supplement,,12080,Weapons Carrying Etc,Weapons Offense,"Firearm, Possession By Prohibited Person",Cite or Arrest Adult,BOARDMAN PL \ BRYANT ST,23914000,Southern,South of Market,6,37.7751608100771,-122.40363551943442,"(37.7751608100771, -122.40363551943442)"
