Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/08/11 07:10:00 PM,2018/08/11,19:10,2018,Saturday,2018/08/11 07:11:00 PM,70537704013,705377,180602295,180602295,II,Initial,,04013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/14 02:15:00 PM,2018/08/14,14:15,2018,Tuesday,2018/08/14 02:44:00 PM,70550127170,705501,189002400,189002400,II,Initial,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,04TH ST \ MISSION BAY BLVD,34172000,Southern,Mission Bay,6,37.770555975146884,-122.39115601762397,"(37.770555975146884, -122.39115601762397)"
2018/08/14 03:07:00 PM,2018/08/14,15:07,2018,Tuesday,2018/08/14 03:07:00 PM,70560506314,705605,180609984,180609984,II,Initial,,06314,Larceny Theft,Larceny Theft - Bicycle,"Theft, Bicycle, >$950",Cite or Arrest Adult,OWENS ST \ 16TH ST,23784000,Southern,Mission Bay,6,37.766691459464916,-122.3926618696727,"(37.766691459464916, -122.3926618696727)"
2018/08/14 03:07:00 PM,2018/08/14,15:07,2018,Tuesday,2018/08/14 03:07:00 PM,70560527130,705605,180609984,180609984,II,Initial,,27130,Other Miscellaneous,Other,"Burglary Tools, Possession Of",Cite or Arrest Adult,OWENS ST \ 16TH ST,23784000,Southern,Mission Bay,6,37.766691459464916,-122.3926618696727,"(37.766691459464916, -122.3926618696727)"
2018/08/10 05:20:00 AM,2018/08/10,05:20,2018,Friday,2018/08/10 05:20:00 AM,70585165015,705851,180597511,182220439,II,Initial,,65015,Other Miscellaneous,Other,"Driving, No License Issued",Cite or Arrest Adult,SOUTH VAN NESS AVE \ 16TH ST,24142000,Mission,Mission,9,37.765183133520345,-122.41748659732667,"(37.765183133520345, -122.41748659732667)"
2018/08/19 11:20:00 PM,2018/08/19,23:20,2018,Sunday,2018/08/20 12:30:00 AM,71035327195,710353,180624885,182320202,II,Initial,,27195,Other Miscellaneous,Trespass,Trespassing,Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/21 10:43:00 AM,2018/08/21,10:43,2018,Tuesday,2018/08/21 10:43:00 AM,71037315150,710373,180628906,182331967,II,Initial,,15150,Offences Against The Family And Children,Other,"EPO or Restraining Order Violation, DVU related",Cite or Arrest Adult,TENNESSEE ST \ MARIPOSA ST,23651000,Southern,Potrero Hill,6,37.76426021440879,-122.38985196114861,"(37.76426021440879, -122.38985196114861)"
2018/08/15 04:40:00 PM,2018/08/15,16:40,2018,Wednesday,2018/08/16 09:30:00 AM,71038051040,710380,180615301,180615301,II,Initial,,51040,Non-Criminal,Non-Criminal,Aided Case,Open or Active,23RD ST \ MISSION ST,24094000,Mission,Mission,9,37.753836586731786,-122.41859394629981,"(37.753836586731786, -122.41859394629981)"
2018/08/17 11:17:00 PM,2018/08/17,23:17,2018,Friday,2018/08/17 11:17:00 PM,71044175000,710441,180620065,182294073,IS,Initial Supplement,,75000,Missing Person,Missing Person,Found Person,Open or Active,DEWEY BLVD \ LAGUNA HONDA BLVD,22865000,Park,West of Twin Peaks,7,37.74728631866501,-122.45917437674753,"(37.74728631866501, -122.45917437674753)"
2018/08/12 03:55:00 PM,2018/08/12,15:55,2018,Sunday,2018/08/19 03:55:00 PM,71046851041,710468,180623780,182312277,II,Initial,,51041,Non-Criminal,Non-Criminal,Aided Case -Property for Destruction,Open or Active,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/13 05:00:00 PM,2018/08/13,17:00,2018,Monday,2018/08/15 09:00:00 AM,71049164070,710491,180612197,182270934,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,04TH ST \ LONG BRIDGE ST,34168000,Out of SF,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/08/15 10:20:00 AM,2018/08/15,10:20,2018,Wednesday,2018/08/15 10:30:00 AM,71049303473,710493,180612460,182271280,II,Initial,,03473,Robbery,Robbery - Other,"Robbery, Att., W/ Other Weapon",Open or Active,BAY SHORE BLVD \ CESAR CHAVEZ ST,33283000,Mission,Bernal Heights,9,37.74897104640288,-122.40562695301617,"(37.74897104640288, -122.40562695301617)"
2018/08/15 10:20:00 AM,2018/08/15,10:20,2018,Wednesday,2018/08/15 10:30:00 AM,71049304013,710493,180612460,182271280,II,Initial,,04013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Open or Active,BAY SHORE BLVD \ CESAR CHAVEZ ST,33283000,Mission,Bernal Heights,9,37.74897104640288,-122.40562695301617,"(37.74897104640288, -122.40562695301617)"
2018/08/20 09:30:00 AM,2018/08/20,09:30,2018,Monday,2018/08/20 09:42:00 AM,71056704104,710567,180625225,182321223,II,Initial,,04104,Assault,Simple Assault,"Assault, Non-Aggravated",Open or Active,11TH ST \ KISSLING ST,24350000,Southern,South of Market,6,37.77264947305175,-122.41500165430014,"(37.77264947305175, -122.41500165430014)"
2018/08/21 06:17:00 PM,2018/08/21,18:17,2018,Tuesday,2018/08/21 06:17:00 PM,71060664070,710606,180629954,182333453,II,Initial,,64070,Suspicious Occ,Suspicious Occ,Suspicious Occurrence,Open or Active,FRIDA KAHLO WAY \ GENEVA AVE \ OCEAN AVE,22192000,Ingleside,West of Twin Peaks,7,37.72308024149852,-122.45233156215446,"(37.72308024149852, -122.45233156215446)"
2018/08/23 02:17:00 AM,2018/08/23,02:17,2018,Thursday,2018/08/23 04:30:00 AM,71134616710,711346,180633999,182350376,II,Initial,,16710,Drug Offense,Drug Violation,"Narcotics Paraphernalia, Possession of",Cite or Arrest Adult,MISSION BAY BLVD NORTH \ MERRIMAC ST \ MISSION BAY BLVD,34182000,Southern,Mission Bay,6,37.77090916024206,-122.39285958446878,"(37.77090916024206, -122.39285958446878)"
2018/09/22 03:15:00 PM,2018/09/22,15:15,2018,Saturday,2018/09/23 09:56:00 AM,71832106244,718321,186218797,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Southern,,,,,
2018/08/23 02:17:00 AM,2018/08/23,02:17,2018,Thursday,2018/08/23 04:30:00 AM,71134627065,711346,180633999,182350376,II,Initial,,27065,Other Miscellaneous,Fraud,"Identification To Peace Officer, False",Cite or Arrest Adult,MISSION BAY BLVD NORTH \ MERRIMAC ST \ MISSION BAY BLVD,34182000,Southern,Mission Bay,6,37.77090916024206,-122.39285958446878,"(37.77090916024206, -122.39285958446878)"
2018/08/23 02:17:00 AM,2018/08/23,02:17,2018,Thursday,2018/08/23 04:30:00 AM,71134627130,711346,180633999,182350376,II,Initial,,27130,Other Miscellaneous,Other,"Burglary Tools, Possession Of",Cite or Arrest Adult,MISSION BAY BLVD NORTH \ MERRIMAC ST \ MISSION BAY BLVD,34182000,Southern,Mission Bay,6,37.77090916024206,-122.39285958446878,"(37.77090916024206, -122.39285958446878)"
2018/08/26 12:39:00 AM,2018/08/26,00:39,2018,Sunday,2018/08/26 12:39:00 AM,71134965050,711349,189002507,189002507,II,Initial,,65050,Other Miscellaneous,Other,Driving While Under The Influence Of Alcohol,Cite or Arrest Adult,LAKE MERCED BLVD \ FONT BLVD,33541000,Taraval,Lakeshore,7,37.72399972606433,-122.4850751793089,"(37.72399972606433, -122.4850751793089)"
2018/08/26 12:39:00 AM,2018/08/26,00:39,2018,Sunday,2018/08/26 12:39:00 AM,71134965060,711349,189002507,189002507,II,Initial,,65060,Other Miscellaneous,Liquor Law Violation,Driving While Under The Influence Of Drugs,Cite or Arrest Adult,LAKE MERCED BLVD \ FONT BLVD,33541000,Taraval,Lakeshore,7,37.72399972606433,-122.4850751793089,"(37.72399972606433, -122.4850751793089)"
2018/08/25 09:00:00 PM,2018/08/25,21:00,2018,Saturday,2018/08/25 09:00:00 PM,71135265016,711352,189002513,189002513,II,Initial,,65016,Other Miscellaneous,Other,"Driving, License Suspended or Revoked",Cite or Arrest Adult,VARELA AVE \ HOLLOWAY AVE,23056000,Taraval,Lakeshore,7,37.72077994613941,-122.4760696708765,"(37.72077994613941, -122.4760696708765)"
2018/08/25 09:00:00 PM,2018/08/25,21:00,2018,Saturday,2018/08/25 09:00:00 PM,71135265050,711352,189002513,189002513,II,Initial,,65050,Other Miscellaneous,Other,Driving While Under The Influence Of Alcohol,Cite or Arrest Adult,VARELA AVE \ HOLLOWAY AVE,23056000,Taraval,Lakeshore,7,37.72077994613941,-122.4760696708765,"(37.72077994613941, -122.4760696708765)"
2018/08/26 07:26:00 PM,2018/08/26,19:26,2018,Sunday,2018/08/26 07:26:00 PM,71135519090,711355,189002535,189002535,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,LAKE MERCED BLVD \ FONT BLVD,33541000,Taraval,Lakeshore,7,37.72399972606433,-122.4850751793089,"(37.72399972606433, -122.4850751793089)"
2018/08/28 07:40:00 PM,2018/08/28,19:40,2018,Tuesday,2018/08/28 07:40:00 PM,71135610149,711356,189002557,189002557,II,Initial,,10149,Forgery And Counterfeiting,Forgery And Counterfeiting,Counterfeit Money or Coins,Cite or Arrest Adult,ARGUELLO BLVD \ CARL ST,27062000,Taraval,Inner Sunset,5,37.76481006765861,-122.45771818958592,"(37.76481006765861, -122.45771818958592)"
2018/08/23 08:34:00 AM,2018/08/23,08:34,2018,Thursday,2018/08/23 03:23:00 PM,71136465010,711364,180634210,180634210,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Cite or Arrest Adult,04TH AVE \ PARNASSUS AVE,27072000,Park,Inner Sunset,5,37.762627641538664,-122.46084296580366,"(37.762627641538664, -122.46084296580366)"
2018/08/23 08:34:00 AM,2018/08/23,08:34,2018,Thursday,2018/08/23 03:23:00 PM,71136465015,711364,180634210,180634210,II,Initial,,65015,Other Miscellaneous,Other,"Driving, No License Issued",Cite or Arrest Adult,04TH AVE \ PARNASSUS AVE,27072000,Park,Inner Sunset,5,37.762627641538664,-122.46084296580366,"(37.762627641538664, -122.46084296580366)"
2018/08/27 02:15:00 PM,2018/08/27,14:15,2018,Monday,2018/08/27 02:19:00 PM,71136506363,711365,180646823,180646823,II,Initial,,06363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,FRIDA KAHLO WAY \ GENEVA AVE \ OCEAN AVE,22192000,Ingleside,West of Twin Peaks,7,37.72308024149852,-122.45233156215446,"(37.72308024149852, -122.45233156215446)"
2018/08/29 10:40:00 AM,2018/08/29,10:40,2018,Wednesday,2018/08/29 12:45:00 PM,71137607200,711376,180651888,182411597,II,Initial,,07200,Forgery And Counterfeiting,Forgery And Counterfeiting,"Vehicle Registration, False Evidence of",Cite or Arrest Adult,SHRADER ST \ PAGE ST,26435000,Park,Haight Ashbury,5,37.77031275155392,-122.45205522168708,"(37.77031275155392, -122.45205522168708)"
2018/08/29 10:40:00 AM,2018/08/29,10:40,2018,Wednesday,2018/08/29 12:45:00 PM,71137612015,711376,180651888,182411597,II,Initial,,12015,Weapons Offense,Weapons Offense,"Weapon, Carrying Concealed",Cite or Arrest Adult,SHRADER ST \ PAGE ST,26435000,Park,Haight Ashbury,5,37.77031275155392,-122.45205522168708,"(37.77031275155392, -122.45205522168708)"
2018/08/29 10:40:00 AM,2018/08/29,10:40,2018,Wednesday,2018/08/29 12:45:00 PM,71137626170,711376,180651888,182411597,II,Initial,,26170,Other Miscellaneous,Other,Probation Violation,Cite or Arrest Adult,SHRADER ST \ PAGE ST,26435000,Park,Haight Ashbury,5,37.77031275155392,-122.45205522168708,"(37.77031275155392, -122.45205522168708)"
2018/08/27 08:25:00 PM,2018/08/27,20:25,2018,Monday,2018/08/28 02:10:00 AM,71137704154,711377,180647887,180647887,II,Initial,,04154,Assault,Simple Assault,"Battery, Of A Police Officer",Cite or Arrest Adult,03RD AVE \ PARNASSUS AVE,27065000,Park,Inner Sunset,5,37.76292593712371,-122.45979037567987,"(37.76292593712371, -122.45979037567987)"
2018/08/27 03:15:00 PM,2018/08/27,15:15,2018,Monday,2018/08/27 03:28:00 PM,71147065010,711470,180646782,182392550,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Cite or Arrest Adult,VERMONT ST \ 15TH ST,23863000,Bayview,Mission,10,37.76725722470647,-122.40475020761241,"(37.76725722470647, -122.40475020761241)"
2018/08/27 03:15:00 PM,2018/08/27,15:15,2018,Monday,2018/08/27 03:28:00 PM,71147065015,711470,180646782,182392550,II,Initial,,65015,Other Miscellaneous,Other,"Driving, No License Issued",Cite or Arrest Adult,VERMONT ST \ 15TH ST,23863000,Bayview,Mission,10,37.76725722470647,-122.40475020761241,"(37.76725722470647, -122.40475020761241)"
2018/08/29 01:00:00 AM,2018/08/29,01:00,2018,Wednesday,2018/08/29 01:06:00 AM,71147765015,711477,180651151,182410124,II,Initial,,65015,Other Miscellaneous,Other,"Driving, No License Issued",Cite or Arrest Adult,HARRISON ST \ GORDON ST,24210000,Southern,South of Market,6,37.772837756469265,-122.40968304216152,"(37.772837756469265, -122.40968304216152)"
2018/08/29 01:00:00 AM,2018/08/29,01:00,2018,Wednesday,2018/08/29 01:06:00 AM,71147765030,711477,180651151,182410124,II,Initial,,65030,Other Miscellaneous,Other,"Driving, Speeding",Cite or Arrest Adult,HARRISON ST \ GORDON ST,24210000,Southern,South of Market,6,37.772837756469265,-122.40968304216152,"(37.772837756469265, -122.40968304216152)"
2018/08/28 06:08:00 PM,2018/08/28,18:08,2018,Tuesday,2018/08/28 08:25:00 PM,71149165010,711491,180650501,182403486,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Cite or Arrest Adult,FRIDA KAHLO WAY \ GENEVA AVE \ OCEAN AVE,22192000,Ingleside,West of Twin Peaks,7,37.72308024149852,-122.45233156215446,"(37.72308024149852, -122.45233156215446)"
2018/08/21 08:22:00 AM,2018/08/21,08:22,2018,Tuesday,2018/08/21 08:23:00 AM,71175327195,711753,180628116,182330828,II,Initial,,27195,Other Miscellaneous,Trespass,Trespassing,Cite or Arrest Adult,21ST ST \ POTRERO AVE,2.4e+07,Mission,Mission,10,37.75776205694905,-122.4067997377898,"(37.75776205694905, -122.4067997377898)"
2018/08/21 08:22:00 AM,2018/08/21,08:22,2018,Tuesday,2018/08/21 08:23:00 AM,71175327199,711753,180628116,182330828,II,Initial,,27199,Other Miscellaneous,Loitering,Lodging Without Permission,Cite or Arrest Adult,21ST ST \ POTRERO AVE,2.4e+07,Mission,Mission,10,37.75776205694905,-122.4067997377898,"(37.75776205694905, -122.4067997377898)"
2018/08/21 08:22:00 AM,2018/08/21,08:22,2018,Tuesday,2018/08/21 08:23:00 AM,71175330200,711753,180628116,182330828,II,Initial,,30200,Other Offenses,Other,Municipal Code Violation (general),Cite or Arrest Adult,21ST ST \ POTRERO AVE,2.4e+07,Mission,Mission,10,37.75776205694905,-122.4067997377898,"(37.75776205694905, -122.4067997377898)"
2018/08/24 10:15:00 PM,2018/08/24,22:15,2018,Friday,2018/08/24 10:18:00 PM,71178019020,711780,180639759,182364372,II,Initial,,19020,Disorderly Conduct,Disorderly Conduct,"Disturbing The Peace, Commotion",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/24 10:15:00 PM,2018/08/24,22:15,2018,Friday,2018/08/24 10:18:00 PM,71178019057,711780,180639759,182364372,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/24 10:15:00 PM,2018/08/24,22:15,2018,Friday,2018/08/24 10:18:00 PM,71178027170,711780,180639759,182364372,II,Initial,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/25 02:20:00 PM,2018/08/25,14:20,2018,Saturday,2018/08/25 02:30:00 PM,71298262050,712982,180641027,182372042,II,Initial,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/26 03:10:00 AM,2018/08/26,03:10,2018,Sunday,2018/08/26 03:10:00 AM,71298919057,712989,180642843,182380424,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/26 03:10:00 AM,2018/08/26,03:10,2018,Sunday,2018/08/26 03:10:00 AM,71298927170,712989,180642843,182380424,II,Initial,,27170,Other Miscellaneous,Other,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/26 03:10:00 AM,2018/08/26,03:10,2018,Sunday,2018/08/26 03:10:00 AM,71298927195,712989,180642843,182380424,II,Initial,,27195,Other Miscellaneous,Trespass,Trespassing,Cite or Arrest Adult,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/09/09 12:51:00 AM,2018/09/09,00:51,2018,Sunday,2018/09/09 12:51:00 AM,71401206396,714012,180681493,182530694,IS,Initial Supplement,,06396,Larceny Theft,Larceny Theft - Other,Theft of Utility Services,Open or Active,OCEAN AVE \ CLEARFIELD DR,23307000,Taraval,Sunset/Parkside,7,37.73201020546543,-122.49143643152188,"(37.73201020546543, -122.49143643152188)"
2018/09/14 01:00:00 PM,2018/09/14,13:00,2018,Friday,2018/09/14 01:00:00 PM,71471275025,714712,180695632,182564230,IS,Initial Supplement,,75025,Non-Criminal,Non-Criminal,Search Warrant Service,Cite or Arrest Adult,GREAT HWY \ RIVERA ST,23514000,Taraval,Sunset/Parkside,4,37.74539143420836,-122.50744262684199,"(37.74539143420836, -122.50744262684199)"
2018/09/14 10:00:00 PM,2018/09/14,22:00,2018,Friday,2018/09/14 11:49:00 PM,71835706244,718357,186217357,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Southern,,,,,
2018/09/14 04:30:00 PM,2018/09/14,16:30,2018,Friday,2018/09/15 01:27:00 PM,71500226100,715002,180699725,182581850,II,Initial,,26100,Other Miscellaneous,Extortion-Blackmail,Extortion or Blackmail,Open or Active,BUCARELI DR \ JUAN BAUTISTA CIR,23047000,Taraval,Lakeshore,7,37.7179026129727,-122.47867389258518,"(37.7179026129727, -122.47867389258518)"
2018/09/16 01:36:00 PM,2018/09/16,13:36,2018,Sunday,2018/09/16 02:02:00 PM,71533375000,715333,180701308,182591823,IS,Initial Supplement,,75000,Missing Person,Missing Person,Found Person,Open or Active,47TH AVE \ JUDAH ST,27950000,Taraval,Sunset/Parkside,4,37.760377065041865,-122.50699920919232,"(37.760377065041865, -122.50699920919232)"
2018/08/26 06:14:00 PM,2018/08/26,18:14,2018,Sunday,2018/08/26 06:14:00 PM,71598204013,715982,180644463,182383463,II,Initial,,04013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Open or Active,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/08/26 06:14:00 PM,2018/08/26,18:14,2018,Sunday,2018/08/26 06:14:00 PM,71598227171,715982,180644463,182383463,II,Initial,,27171,Other Miscellaneous,Intimidation,Threat or Force to Resist Executive Officer,Open or Active,22ND ST \ POTRERO AVE,23967000,Mission,Mission,9,37.75683373380551,-122.40669900268833,"(37.75683373380551, -122.40669900268833)"
2018/09/18 08:51:00 AM,2018/09/18,08:51,2018,Tuesday,2018/09/18 08:51:00 AM,71606864085,716068,180706988,182610875,IS,Initial Supplement,,64085,Other Miscellaneous,Other,Investigative Detention,Open or Active,ORDWAY ST \ SAN BRUNO AVE,20562000,Bayview,Portola,10,37.720408882369306,-122.40073581863834,"(37.720408882369306, -122.40073581863834)"
2018/05/14 10:18:00 AM,2018/05/14,10:18,2018,Monday,2018/05/14 10:18:00 AM,71631405071,716314,180046712,180180794,IS,Initial Supplement,,05071,Burglary,Burglary - Other,"Burglary, Other Bldg., Forcible Entry",Cite or Arrest Adult,04TH ST \ LONG BRIDGE ST,34168000,Central,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/05/14 10:18:00 AM,2018/05/14,10:18,2018,Monday,2018/05/14 10:18:00 AM,71631411012,716314,180046712,180180794,IS,Initial Supplement,,11012,Stolen Property,Stolen Property,"Stolen Property, Possession with Knowledge, Receiving",Cite or Arrest Adult,04TH ST \ LONG BRIDGE ST,34168000,Central,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/05/14 10:18:00 AM,2018/05/14,10:18,2018,Monday,2018/05/14 10:18:00 AM,71631427130,716314,180046712,180180794,IS,Initial Supplement,,27130,Other Miscellaneous,Other,"Burglary Tools, Possession Of",Cite or Arrest Adult,04TH ST \ LONG BRIDGE ST,34168000,Central,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/07/07 11:00:00 AM,2018/07/07,11:00,2018,Saturday,2018/07/07 08:09:00 PM,71632807021,716328,180507758,181900483,II,Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,GOLDEN GATE AVE \ DIVISADERO ST,26070000,Southern,Western Addition,5,37.77872410696556,-122.43855227864373,"(37.77872410696556, -122.43855227864373)"
2018/06/11 12:00:00 AM,2018/06/11,00:00,2018,Monday,2018/06/25 05:15:00 PM,71636002010,716360,189002303,189002303,II,Initial,,02010,Rape,Rape,Unlawful Sexual Intercourse with Minor,Open or Active,04TH ST \ LONG BRIDGE ST,34168000,Southern,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/06/11 12:00:00 AM,2018/06/11,00:00,2018,Monday,2018/06/25 05:15:00 PM,71636015017,716360,189002303,189002303,II,Initial,,15017,Sex Offense,Child Abuse,"Child Abuse, Pornography",Open or Active,04TH ST \ LONG BRIDGE ST,34168000,Southern,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/05/04 06:00:00 PM,2018/05/04,18:00,2018,Friday,2018/05/04 06:20:00 PM,71638674000,716386,189002444,189002444,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,04TH ST \ LONG BRIDGE ST,34168000,Southern,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/09/19 11:31:00 AM,2018/09/19,11:31,2018,Wednesday,2018/09/19 11:31:00 AM,71640464085,716404,180710177,182621683,II,Initial,,64085,Other Miscellaneous,Other,Investigative Detention,Unfounded,FELL ST \ LAGUNA ST,25913000,Northern,Hayes Valley,5,37.77552454478846,-122.42607032528431,"(37.77552454478846, -122.42607032528431)"
2018/09/19 11:31:00 AM,2018/09/19,11:31,2018,Wednesday,2018/09/19 11:31:00 AM,71640465010,716404,180710177,182621683,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Unfounded,FELL ST \ LAGUNA ST,25913000,Northern,Hayes Valley,5,37.77552454478846,-122.42607032528431,"(37.77552454478846, -122.42607032528431)"
2018/04/27 01:01:00 PM,2018/04/27,13:01,2018,Friday,2018/05/03 09:03:00 PM,71663905043,716639,180341095,181280189,IS,Initial Supplement,,05043,Burglary,Burglary - Residential,"Burglary, Residence, Unlawful Entry",Open or Active,04TH ST \ LONG BRIDGE ST,34168000,Southern,Mission Bay,6,37.773466920607476,-122.39143433652146,"(37.773466920607476, -122.39143433652146)"
2018/05/23 06:00:00 PM,2018/05/23,18:00,2018,Wednesday,2018/05/24 07:03:00 AM,71692206244,716922,189002472,189002472,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,25TH AVE \ LAWTON ST,27392000,Richmond,Sunset/Parkside,4,37.75768384615802,-122.48316145898171,"(37.75768384615802, -122.48316145898171)"
2018/09/21 09:00:00 AM,2018/09/21,09:00,2018,Friday,2018/09/24 08:43:00 AM,71851306244,718513,186218418,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Taraval,,,,,
2018/09/20 03:20:00 PM,2018/09/20,15:20,2018,Thursday,2018/09/20 07:31:00 PM,71693205011,716932,180714674,182633744,IS,Initial Supplement,,05011,Burglary,Burglary - Residential,"Burglary, Apartment House, Forcible Entry",Cite or Arrest Juvenile,ONONDAGA AVE \ OCEAN AVE,22077000,Ingleside,Outer Mission,11,37.723168313513796,-122.44255366318426,"(37.723168313513796, -122.44255366318426)"
2018/07/11 12:00:00 AM,2018/07/11,00:00,2018,Wednesday,2018/07/12 08:22:00 AM,71694114015,716941,189002319,189002319,II,Initial,,14015,Sex Offense,"Sex Offense, Child","Child Abuse, Sexual",Open or Active,EL SERENO CT \ MARIETTA DR,33595000,Ingleside,West of Twin Peaks,7,37.73867692091308,-122.44352097234813,"(37.73867692091308, -122.44352097234813)"
2018/08/10 11:00:00 AM,2018/08/10,11:00,2018,Friday,2018/08/10 12:38:00 PM,71698103414,716981,189002325,189002325,II,Initial,,03414,Robbery,Robbery - Street,"Robbery, Att., Street or Public Place, W/ Force",Open or Active,VAN NESS AVE \ CLAY ST,26535000,Central,Nob Hill,3,37.79217464375832,-122.42269416444952,"(37.79217464375832, -122.42269416444952)"
2018/09/21 10:12:00 AM,2018/09/21,10:12,2018,Friday,2018/09/21 01:15:00 PM,71698807043,716988,180372573,181390483,VS,Vehicle Supplement,,07043,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Motorcycle",Open or Active,LINCOLN WAY \ 16TH AVE,27361000,Taraval,Inner Sunset,5,37.76559292273596,-122.47404531960231,"(37.76559292273596, -122.47404531960231)"
2018/09/21 05:15:00 PM,2018/09/21,17:15,2018,Friday,2018/09/21 05:30:00 PM,71706072000,717060,180716909,182642481,IS,Initial Supplement,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,BEACH ST \ HYDE ST,30766000,Central,Russian Hill,2,37.806657732348235,-122.42055996630992,"(37.806657732348235, -122.42055996630992)"
